Freq.	V(vout)
1.00000000000000e+000	2.03025632198097e+000,-4.05936654772294e-006
1.02329299228075e+000	2.03025632198077e+000,-4.15392134130077e-006
1.04712854805090e+000	2.03025632198055e+000,-4.25067859904501e-006
1.07151930523761e+000	2.03025632198033e+000,-4.34968962280002e-006
1.09647819614318e+000	2.03025632198009e+000,-4.45100690964226e-006
1.12201845430196e+000	2.03025632197985e+000,-4.55468417929016e-006
1.14815362149688e+000	2.03025632197959e+000,-4.66077640265953e-006
1.17489755493953e+000	2.03025632197932e+000,-4.76933983137625e-006
1.20226443461741e+000	2.03025632197904e+000,-4.88043202730542e-006
1.23026877081238e+000	2.03025632197875e+000,-4.99411189283593e-006
1.25892541179417e+000	2.03025632197844e+000,-5.11043970266404e-006
1.28824955169313e+000	2.03025632197812e+000,-5.22947713514922e-006
1.31825673855641e+000	2.03025632197777e+000,-5.35128730572761e-006
1.34896288259165e+000	2.03025632197743e+000,-5.47593479964524e-006
1.38038426460288e+000	2.03025632197706e+000,-5.60348570661783e-006
1.41253754462275e+000	2.03025632197666e+000,-5.73400765595810e-006
1.44543977074593e+000	2.03025632197626e+000,-5.86756985201770e-006
1.47910838816821e+000	2.03025632197584e+000,-6.00424311123401e-006
1.51356124843621e+000	2.03025632197539e+000,-6.14409989973648e-006
1.54881661891248e+000	2.03025632197493e+000,-6.28721437122436e-006
1.58489319246111e+000	2.03025632197443e+000,-6.43366240707247e-006
1.62181009735893e+000	2.03025632197393e+000,-6.58352165584642e-006
1.65958690743756e+000	2.03025632197338e+000,-6.73687157497111e-006
1.69824365246174e+000	2.03025632197282e+000,-6.89379347255631e-006
1.73780082874937e+000	2.03025632197224e+000,-7.05437055070302e-006
1.77827941003892e+000	2.03025632197163e+000,-7.21868794951778e-006
1.81970085860998e+000	2.03025632197098e+000,-7.38683279215159e-006
1.86208713666287e+000	2.03025632197031e+000,-7.55889423138684e-006
1.90546071796325e+000	2.03025632196960e+000,-7.73496349635660e-006
1.94984459975804e+000	2.03025632196886e+000,-7.91513394136974e-006
1.99526231496888e+000	2.03025632196809e+000,-8.09950109514173e-006
2.04173794466953e+000	2.03025632196728e+000,-8.28816271168678e-006
2.08929613085404e+000	2.03025632196643e+000,-8.48121882171710e-006
2.13796208950223e+000	2.03025632196553e+000,-8.67877178624504e-006
2.18776162394955e+000	2.03025632196460e+000,-8.88092635047267e-006
2.23872113856834e+000	2.03025632196362e+000,-9.08778969939691e-006
2.29086765276777e+000	2.03025632196261e+000,-9.29947151472262e-006
2.34422881531992e+000	2.03025632196154e+000,-9.51608403290019e-006
2.39883291901949e+000	2.03025632196042e+000,-9.73774210483666e-006
2.45470891568503e+000	2.03025632195925e+000,-9.96456325651600e-006
2.51188643150958e+000	2.03025632195802e+000,-1.01966677515462e-005
2.57039578276886e+000	2.03025632195673e+000,-1.04341786547681e-005
2.63026799189538e+000	2.03025632195538e+000,-1.06772218976116e-005
2.69153480392691e+000	2.03025632195398e+000,-1.09259263448465e-005
2.75422870333816e+000	2.03025632195250e+000,-1.11804238628417e-005
2.81838293126445e+000	2.03025632195096e+000,-1.14408493895774e-005
2.88403150312660e+000	2.03025632194935e+000,-1.17073410060950e-005
2.95120922666638e+000	2.03025632194765e+000,-1.19800400097851e-005
3.01995172040201e+000	2.03025632194588e+000,-1.22590909892662e-005
3.09029543251359e+000	2.03025632194401e+000,-1.25446419010298e-005
3.16227766016837e+000	2.03025632194207e+000,-1.28368441479843e-005
3.23593656929628e+000	2.03025632194004e+000,-1.31358526596352e-005
3.31131121482591e+000	2.03025632193790e+000,-1.34418259742269e-005
3.38844156139202e+000	2.03025632193566e+000,-1.37549263228814e-005
3.46736850452531e+000	2.03025632193333e+000,-1.40753197155714e-005
3.54813389233575e+000	2.03025632193088e+000,-1.44031760290005e-005
3.63078054770101e+000	2.03025632192831e+000,-1.47386690970708e-005
3.71535229097172e+000	2.03025632192563e+000,-1.50819768025673e-005
3.80189396320560e+000	2.03025632192282e+000,-1.54332811717947e-005
3.89045144994280e+000	2.03025632191987e+000,-1.57927684710261e-005
3.98107170553496e+000	2.03025632191679e+000,-1.61606293050575e-005
4.07380277804112e+000	2.03025632191357e+000,-1.65370587187161e-005
4.16869383470335e+000	2.03025632191018e+000,-1.69222562998033e-005
4.26579518801592e+000	2.03025632190664e+000,-1.73164262851569e-005
4.36515832240165e+000	2.03025632190294e+000,-1.77197776689362e-005
4.46683592150962e+000	2.03025632189906e+000,-1.81325243133677e-005
4.57088189614874e+000	2.03025632189498e+000,-1.85548850622523e-005
4.67735141287197e+000	2.03025632189074e+000,-1.89870838567328e-005
4.78630092322637e+000	2.03025632188628e+000,-1.94293498544496e-005
4.89778819368445e+000	2.03025632188161e+000,-1.98819175505998e-005
5.01187233627271e+000	2.03025632187673e+000,-2.03450269026170e-005
5.12861383991364e+000	2.03025632187160e+000,-2.08189234571870e-005
5.24807460249771e+000	2.03025632186626e+000,-2.13038584805569e-005
5.37031796370252e+000	2.03025632186064e+000,-2.18000890916754e-005
5.49540873857623e+000	2.03025632185476e+000,-2.23078783985887e-005
5.62341325190348e+000	2.03025632184861e+000,-2.28274956379062e-005
5.75439937337156e+000	2.03025632184217e+000,-2.33592163175624e-005
5.88843655355588e+000	2.03025632183543e+000,-2.39033223629047e-005
6.02559586074356e+000	2.03025632182835e+000,-2.44601022661694e-005
6.16595001861481e+000	2.03025632182096e+000,-2.50298512393985e-005
6.30957344480192e+000	2.03025632181322e+000,-2.56128713710782e-005
6.45654229034654e+000	2.03025632180511e+000,-2.62094717861741e-005
6.60693448007594e+000	2.03025632179662e+000,-2.68199688101327e-005
6.76082975391980e+000	2.03025632178773e+000,-2.74446861365683e-005
6.91830970918935e+000	2.03025632177841e+000,-2.80839549988397e-005
7.07945784384136e+000	2.03025632176867e+000,-2.87381143457976e-005
7.24435960074988e+000	2.03025632175846e+000,-2.94075110213759e-005
7.41310241300916e+000	2.03025632174777e+000,-3.00924999485295e-005
7.58577575029182e+000	2.03025632173657e+000,-3.07934443174905e-005
7.76247116628690e+000	2.03025632172486e+000,-3.15107157782168e-005
7.94328234724279e+000	2.03025632171258e+000,-3.22446946375325e-005
8.12830516164097e+000	2.03025632169973e+000,-3.29957700607537e-005
8.31763771102669e+000	2.03025632168626e+000,-3.37643402780012e-005
8.51138038202374e+000	2.03025632167217e+000,-3.45508127953738e-005
8.70963589956078e+000	2.03025632165742e+000,-3.53556046110229e-005
8.91250938133743e+000	2.03025632164197e+000,-3.61791424362153e-005
9.12010839355907e+000	2.03025632162578e+000,-3.70218629216152e-005
9.33254300796988e+000	2.03025632160884e+000,-3.78842128887631e-005
9.54992586021433e+000	2.03025632159109e+000,-3.87666495670446e-005
9.77237220955808e+000	2.03025632157251e+000,-3.96696408360344e-005
9.99999999999997e+000	2.03025632155307e+000,-4.05936654736600e-005
1.02329299228075e+001	2.03025632153270e+000,-4.15392134100523e-005
1.04712854805090e+001	2.03025632151136e+000,-4.25067859872261e-005
