Freq.	V(vout)
1.00000000000000e+000	2.00996357780848e+000,-3.97408568641861e-006
1.02329299228075e+000	2.00996357780826e+000,-4.06665403363512e-006
1.04712854805090e+000	2.00996357780802e+000,-4.16137857464874e-006
1.07151930523761e+000	2.00996357780777e+000,-4.25830953366543e-006
1.09647819614318e+000	2.00996357780751e+000,-4.35749830476141e-006
1.12201845430196e+000	2.00996357780724e+000,-4.45899747913750e-006
1.14815362149688e+000	2.00996357780696e+000,-4.56286087299852e-006
1.17489755493953e+000	2.00996357780666e+000,-4.66914355609120e-006
1.20226443461741e+000	2.00996357780635e+000,-4.77790188090047e-006
1.23026877081238e+000	2.00996357780602e+000,-4.88919351253049e-006
1.25892541179417e+000	2.00996357780568e+000,-5.00307745927620e-006
1.28824955169313e+000	2.00996357780532e+000,-5.11961410391500e-006
1.31825673855641e+000	2.00996357780495e+000,-5.23886523571717e-006
1.34896288259165e+000	2.00996357780455e+000,-5.36089408321243e-006
1.38038426460288e+000	2.00996357780414e+000,-5.48576534771010e-006
1.41253754462275e+000	2.00996357780371e+000,-5.61354523760771e-006
1.44543977074593e+000	2.00996357780326e+000,-5.74430150349421e-006
1.47910838816821e+000	2.00996357780279e+000,-5.87810347407283e-006
1.51356124843621e+000	2.00996357780229e+000,-6.01502209291923e-006
1.54881661891248e+000	2.00996357780178e+000,-6.15512995609713e-006
1.58489319246111e+000	2.00996357780123e+000,-6.29850135065069e-006
1.62181009735893e+000	2.00996357780067e+000,-6.44521229399077e-006
1.65958690743756e+000	2.00996357780007e+000,-6.59534057420171e-006
1.69824365246174e+000	2.00996357779945e+000,-6.74896579128449e-006
1.73780082874937e+000	2.00996357779880e+000,-6.90616939936249e-006
1.77827941003892e+000	2.00996357779812e+000,-7.06703474987063e-006
1.81970085860998e+000	2.00996357779740e+000,-7.23164713574557e-006
1.86208713666287e+000	2.00996357779665e+000,-7.40009383665518e-006
1.90546071796325e+000	2.00996357779587e+000,-7.57246416526662e-006
1.94984459975804e+000	2.00996357779505e+000,-7.74884951461351e-006
1.99526231496888e+000	2.00996357779419e+000,-7.92934340654043e-006
2.04173794466953e+000	2.00996357779329e+000,-8.11404154129820e-006
2.08929613085404e+000	2.00996357779235e+000,-8.30304184828357e-006
2.13796208950223e+000	2.00996357779137e+000,-8.49644453796040e-006
2.18776162394955e+000	2.00996357779033e+000,-8.69435215499447e-006
2.23872113856834e+000	2.00996357778925e+000,-8.89686963262463e-006
2.29086765276777e+000	2.00996357778812e+000,-9.10410434829813e-006
2.34422881531992e+000	2.00996357778693e+000,-9.31616618060323e-006
2.39883291901949e+000	2.00996357778569e+000,-9.53316756753095e-006
2.45470891568503e+000	2.00996357778439e+000,-9.75522356608959e-006
2.51188643150958e+000	2.00996357778303e+000,-9.98245191330822e-006
2.57039578276886e+000	2.00996357778161e+000,-1.02149730886646e-005
2.63026799189538e+000	2.00996357778011e+000,-1.04529103779628e-005
2.69153480392691e+000	2.00996357777855e+000,-1.06963899387046e-005
2.75422870333816e+000	2.00996357777691e+000,-1.09455408669738e-005
2.81838293126445e+000	2.00996357777520e+000,-1.12004952658923e-005
2.88403150312660e+000	2.00996357777341e+000,-1.14613883156565e-005
2.95120922666638e+000	2.00996357777153e+000,-1.17283583452143e-005
3.01995172040201e+000	2.00996357776956e+000,-1.20015469056085e-005
3.09029543251359e+000	2.00996357776750e+000,-1.22810988450323e-005
3.16227766016837e+000	2.00996357776534e+000,-1.25671623856223e-005
3.23593656929628e+000	2.00996357776308e+000,-1.28598892020539e-005
3.31131121482591e+000	2.00996357776072e+000,-1.31594345019621e-005
3.38844156139202e+000	2.00996357775824e+000,-1.34659571082268e-005
3.46736850452531e+000	2.00996357775565e+000,-1.37796195431920e-005
