frequency	V(onoise)
1.000000000000000e+000	5.803794e-006
1.023292992280754e+000	5.745162e-006
1.047128548050899e+000	5.687124e-006
1.071519305237606e+000	5.629676e-006
1.096478196143185e+000	5.572811e-006
1.122018454301963e+000	5.516523e-006
1.148153621496882e+000	5.460807e-006
1.174897554939529e+000	5.405656e-006
1.202264434617413e+000	5.351065e-006
1.230268770812381e+000	5.297029e-006
1.258925411794167e+000	5.243541e-006
1.288249551693134e+000	5.190596e-006
1.318256738556407e+000	5.138188e-006
1.348962882591653e+000	5.086314e-006
1.380384264602885e+000	5.034965e-006
1.412537544622754e+000	4.984139e-006
1.445439770745927e+000	4.933829e-006
1.479108388168207e+000	4.884029e-006
1.513561248436208e+000	4.834736e-006
1.548816618912481e+000	4.785943e-006
1.584893192461113e+000	4.737646e-006
1.621810097358929e+000	4.689840e-006
1.659586907437560e+000	4.642520e-006
1.698243652461744e+000	4.595680e-006
1.737800828749375e+000	4.549317e-006
1.778279410038922e+000	4.503424e-006
1.819700858609982e+000	4.457998e-006
1.862087136662866e+000	4.413034e-006
1.905460717963246e+000	4.368527e-006
1.949844599758044e+000	4.324473e-006
1.995262314968878e+000	4.280866e-006
2.041737944669527e+000	4.237703e-006
2.089296130854037e+000	4.194979e-006
2.137962089502230e+000	4.152689e-006
2.187761623949550e+000	4.110830e-006
2.238721138568337e+000	4.069396e-006
2.290867652767771e+000	4.028384e-006
2.344228815319919e+000	3.987788e-006
2.398832919019488e+000	3.947606e-006
2.454708915685028e+000	3.907833e-006
2.511886431509577e+000	3.868465e-006
2.570395782768860e+000	3.829497e-006
2.630267991895378e+000	3.790926e-006
2.691534803926912e+000	3.752748e-006
2.754228703338163e+000	3.714958e-006
2.818382931264450e+000	3.677553e-006
2.884031503126602e+000	3.640529e-006
2.951209226666381e+000	3.603883e-006
3.019951720402012e+000	3.567609e-006
3.090295432513586e+000	3.531705e-006
3.162277660168374e+000	3.496167e-006
3.235936569296277e+000	3.460991e-006
3.311311214825905e+000	3.426173e-006
3.388441561392020e+000	3.391710e-006
3.467368504525310e+000	3.357599e-006
3.548133892335748e+000	3.323835e-006
3.630780547701007e+000	3.290415e-006
3.715352290971719e+000	3.257337e-006
3.801893963205605e+000	3.224596e-006
3.890451449942799e+000	3.192188e-006
3.981071705534965e+000	3.160112e-006
4.073802778041119e+000	3.128362e-006
4.168693834703346e+000	3.096937e-006
4.265795188015918e+000	3.065833e-006
4.365158322401651e+000	3.035045e-006
4.466835921509622e+000	3.004573e-006
4.570881896148741e+000	2.974411e-006
4.677351412871972e+000	2.944558e-006
4.786300923226373e+000	2.915010e-006
4.897788193684452e+000	2.885763e-006
5.011872336272712e+000	2.856815e-006
5.128613839913638e+000	2.828164e-006
5.248074602497715e+000	2.799805e-006
5.370317963702516e+000	2.771736e-006
5.495408738576233e+000	2.743954e-006
5.623413251903478e+000	2.716457e-006
5.754399373371556e+000	2.689241e-006
5.888436553555876e+000	2.662303e-006
6.025595860743564e+000	2.635641e-006
6.165950018614807e+000	2.609252e-006
6.309573444801917e+000	2.583133e-006
6.456542290346540e+000	2.557282e-006
6.606934480075944e+000	2.531695e-006
6.760829753919802e+000	2.506371e-006
6.918309709189348e+000	2.481307e-006
7.079457843841362e+000	2.456499e-006
7.244359600749883e+000	2.431946e-006
7.413102413009157e+000	2.407644e-006
7.585775750291819e+000	2.383592e-006
7.762471166286898e+000	2.359787e-006
7.943282347242795e+000	2.336227e-006
8.128305161640972e+000	2.312908e-006
8.317637711026690e+000	2.289828e-006
8.511380382023743e+000	2.266986e-006
8.709635899560784e+000	2.244379e-006
8.912509381337431e+000	2.222004e-006
9.120108393559072e+000	2.199859e-006
9.332543007969884e+000	2.177942e-006
9.549925860214332e+000	2.156250e-006
9.772372209558078e+000	2.134782e-006
9.999999999999970e+000	2.113535e-006
1.023292992280751e+001	2.092506e-006
1.047128548050896e+001	2.071695e-006
1.071519305237603e+001	2.051097e-006
1.096478196143182e+001	2.030713e-006
1.122018454301960e+001	2.010538e-006
1.148153621496879e+001	1.990572e-006
1.174897554939526e+001	1.970812e-006
1.202264434617409e+001	1.951256e-006
1.230268770812378e+001	1.931902e-006
1.258925411794163e+001	1.912747e-006
1.288249551693130e+001	1.893791e-006
1.318256738556403e+001	1.875031e-006
1.348962882591649e+001	1.856466e-006
1.380384264602880e+001	1.838092e-006
1.412537544622749e+001	1.819909e-006
1.445439770745922e+001	1.801914e-006
1.479108388168202e+001	1.784105e-006
1.513561248436203e+001	1.766482e-006
1.548816618912476e+001	1.749041e-006
1.584893192461108e+001	1.731781e-006
1.621810097358924e+001	1.714701e-006
1.659586907437554e+001	1.697798e-006
1.698243652461738e+001	1.681070e-006
1.737800828749369e+001	1.664517e-006
1.778279410038916e+001	1.648136e-006
1.819700858609976e+001	1.631926e-006
1.862087136662860e+001	1.615884e-006
1.905460717963240e+001	1.600010e-006
1.949844599758038e+001	1.584301e-006
1.995262314968872e+001	1.568757e-006
2.041737944669522e+001	1.553374e-006
2.089296130854032e+001	1.538153e-006
2.137962089502224e+001	1.523090e-006
2.187761623949544e+001	1.508185e-006
2.238721138568331e+001	1.493436e-006
2.290867652767764e+001	1.478842e-006
2.344228815319913e+001	1.464401e-006
2.398832919019481e+001	1.450111e-006
2.454708915685020e+001	1.435971e-006
2.511886431509570e+001	1.421980e-006
2.570395782768853e+001	1.408136e-006
2.630267991895371e+001	1.394437e-006
2.691534803926904e+001	1.380883e-006
2.754228703338155e+001	1.367472e-006
2.818382931264442e+001	1.354201e-006
2.884031503126593e+001	1.341071e-006
2.951209226666373e+001	1.328080e-006
3.019951720402003e+001	1.315226e-006
3.090295432513577e+001	1.302508e-006
3.162277660168365e+001	1.289925e-006
3.235936569296268e+001	1.277474e-006
3.311311214825896e+001	1.265156e-006
3.388441561392011e+001	1.252969e-006
3.467368504525301e+001	1.240911e-006
3.548133892335738e+001	1.228982e-006
3.630780547700997e+001	1.217179e-006
3.715352290971708e+001	1.205502e-006
3.801893963205595e+001	1.193950e-006
3.890451449942788e+001	1.182521e-006
3.981071705534954e+001	1.171214e-006
4.073802778041109e+001	1.160028e-006
4.168693834703335e+001	1.148962e-006
4.265795188015907e+001	1.138015e-006
4.365158322401639e+001	1.127185e-006
4.466835921509610e+001	1.116471e-006
4.570881896148729e+001	1.105873e-006
4.677351412871960e+001	1.095389e-006
4.786300923226361e+001	1.085018e-006
4.897788193684438e+001	1.074758e-006
5.011872336272698e+001	1.064610e-006
5.128613839913624e+001	1.054571e-006
5.248074602497700e+001	1.044641e-006
5.370317963702501e+001	1.034819e-006
5.495408738576219e+001	1.025103e-006
5.623413251903463e+001	1.015493e-006
5.754399373371541e+001	1.005988e-006
5.888436553555861e+001	9.965867e-007
6.025595860743547e+001	9.872876e-007
6.165950018614791e+001	9.780903e-007
6.309573444801901e+001	9.689937e-007
6.456542290346522e+001	9.599968e-007
6.606934480075925e+001	9.510987e-007
6.760829753919782e+001	9.422985e-007
6.918309709189329e+001	9.335952e-007
7.079457843841342e+001	9.249878e-007
7.244359600749863e+001	9.164756e-007
7.413102413009136e+001	9.080575e-007
7.585775750291798e+001	8.997328e-007
7.762471166286876e+001	8.915004e-007
7.943282347242773e+001	8.833596e-007
8.128305161640949e+001	8.753095e-007
8.317637711026666e+001	8.673491e-007
8.511380382023719e+001	8.594777e-007
8.709635899560760e+001	8.516945e-007
8.912509381337408e+001	8.439985e-007
9.120108393559049e+001	8.363891e-007
9.332543007969861e+001	8.288653e-007
9.549925860214309e+001	8.214263e-007
9.772372209558054e+001	8.140714e-007
9.999999999999946e+001	8.067997e-007
1.023292992280749e+002	7.996106e-007
1.047128548050894e+002	7.925032e-007
1.071519305237600e+002	7.854766e-007
1.096478196143179e+002	7.785304e-007
1.122018454301957e+002	7.716635e-007
1.148153621496876e+002	7.648753e-007
1.174897554939523e+002	7.581651e-007
1.202264434617406e+002	7.515321e-007
1.230268770812374e+002	7.449756e-007
1.258925411794160e+002	7.384950e-007
1.288249551693126e+002	7.320893e-007
1.318256738556399e+002	7.257582e-007
1.348962882591646e+002	7.195007e-007
1.380384264602876e+002	7.133162e-007
