frequency	V(onoise)
1.000000000000000e+000	5.821081e-006
1.023292992280754e+000	5.755611e-006
1.047128548050899e+000	5.690903e-006
1.071519305237606e+000	5.626950e-006
1.096478196143185e+000	5.563742e-006
1.122018454301963e+000	5.501271e-006
1.148153621496882e+000	5.439529e-006
1.174897554939529e+000	5.378507e-006
1.202264434617413e+000	5.318199e-006
1.230268770812381e+000	5.258595e-006
1.258925411794167e+000	5.199688e-006
1.288249551693134e+000	5.141470e-006
1.318256738556407e+000	5.083932e-006
1.348962882591653e+000	5.027069e-006
1.380384264602885e+000	4.970871e-006
1.412537544622754e+000	4.915332e-006
1.445439770745927e+000	4.860444e-006
1.479108388168207e+000	4.806199e-006
1.513561248436208e+000	4.752592e-006
1.548816618912481e+000	4.699614e-006
1.584893192461113e+000	4.647258e-006
1.621810097358929e+000	4.595518e-006
1.659586907437560e+000	4.544387e-006
1.698243652461744e+000	4.493857e-006
1.737800828749375e+000	4.443923e-006
1.778279410038922e+000	4.394577e-006
1.819700858609982e+000	4.345814e-006
1.862087136662866e+000	4.297625e-006
1.905460717963246e+000	4.250006e-006
1.949844599758044e+000	4.202949e-006
1.995262314968878e+000	4.156449e-006
2.041737944669527e+000	4.110499e-006
2.089296130854037e+000	4.065093e-006
2.137962089502230e+000	4.020226e-006
2.187761623949550e+000	3.975891e-006
2.238721138568337e+000	3.932082e-006
2.290867652767771e+000	3.888793e-006
2.344228815319919e+000	3.846019e-006
2.398832919019488e+000	3.803754e-006
2.454708915685028e+000	3.761993e-006
2.511886431509577e+000	3.720729e-006
2.570395782768860e+000	3.679957e-006
2.630267991895378e+000	3.639672e-006
2.691534803926912e+000	3.599869e-006
2.754228703338163e+000	3.560542e-006
2.818382931264450e+000	3.521686e-006
2.884031503126602e+000	3.483296e-006
2.951209226666381e+000	3.445366e-006
3.019951720402012e+000	3.407892e-006
3.090295432513586e+000	3.370868e-006
3.162277660168374e+000	3.334290e-006
3.235936569296277e+000	3.298153e-006
3.311311214825905e+000	3.262451e-006
3.388441561392020e+000	3.227181e-006
3.467368504525310e+000	3.192337e-006
3.548133892335748e+000	3.157915e-006
3.630780547701007e+000	3.123910e-006
3.715352290971719e+000	3.090318e-006
3.801893963205605e+000	3.057133e-006
3.890451449942799e+000	3.024353e-006
3.981071705534965e+000	2.991971e-006
4.073802778041119e+000	2.959984e-006
4.168693834703346e+000	2.928388e-006
4.265795188015918e+000	2.897178e-006
4.365158322401651e+000	2.866351e-006
4.466835921509622e+000	2.835901e-006
4.570881896148741e+000	2.805825e-006
4.677351412871972e+000	2.776119e-006
4.786300923226373e+000	2.746779e-006
4.897788193684452e+000	2.717801e-006
5.011872336272712e+000	2.689181e-006
5.128613839913638e+000	2.660914e-006
5.248074602497715e+000	2.632998e-006
5.370317963702516e+000	2.605429e-006
5.495408738576233e+000	2.578202e-006
5.623413251903478e+000	2.551315e-006
5.754399373371556e+000	2.524762e-006
5.888436553555876e+000	2.498542e-006
6.025595860743564e+000	2.472650e-006
6.165950018614807e+000	2.447082e-006
6.309573444801917e+000	2.421836e-006
6.456542290346540e+000	2.396908e-006
6.606934480075944e+000	2.372293e-006
6.760829753919802e+000	2.347990e-006
6.918309709189348e+000	2.323995e-006
7.079457843841362e+000	2.300304e-006
7.244359600749883e+000	2.276914e-006
7.413102413009157e+000	2.253822e-006
7.585775750291819e+000	2.231025e-006
7.762471166286898e+000	2.208520e-006
7.943282347242795e+000	2.186302e-006
8.128305161640972e+000	2.164371e-006
8.317637711026690e+000	2.142721e-006
8.511380382023743e+000	2.121351e-006
8.709635899560784e+000	2.100258e-006
8.912509381337431e+000	2.079438e-006
9.120108393559072e+000	2.058888e-006
9.332543007969884e+000	2.038606e-006
9.549925860214332e+000	2.018589e-006
9.772372209558078e+000	1.998834e-006
9.999999999999970e+000	1.979337e-006
1.023292992280751e+001	1.960098e-006
1.047128548050896e+001	1.941112e-006
1.071519305237603e+001	1.922377e-006
1.096478196143182e+001	1.903891e-006
1.122018454301960e+001	1.885650e-006
1.148153621496879e+001	1.867652e-006
1.174897554939526e+001	1.849895e-006
1.202264434617409e+001	1.832376e-006
1.230268770812378e+001	1.815092e-006
1.258925411794163e+001	1.798042e-006
1.288249551693130e+001	1.781221e-006
1.318256738556403e+001	1.764629e-006
1.348962882591649e+001	1.748262e-006
1.380384264602880e+001	1.732118e-006
1.412537544622749e+001	1.716195e-006
1.445439770745922e+001	1.700491e-006
1.479108388168202e+001	1.685003e-006
1.513561248436203e+001	1.669728e-006
1.548816618912476e+001	1.654665e-006
1.584893192461108e+001	1.639811e-006
1.621810097358924e+001	1.625164e-006
1.659586907437554e+001	1.610721e-006
1.698243652461738e+001	1.596482e-006
1.737800828749369e+001	1.582442e-006
1.778279410038916e+001	1.568601e-006
1.819700858609976e+001	1.554956e-006
1.862087136662860e+001	1.541504e-006
1.905460717963240e+001	1.528245e-006
1.949844599758038e+001	1.515175e-006
1.995262314968872e+001	1.502293e-006
2.041737944669522e+001	1.489597e-006
2.089296130854032e+001	1.477084e-006
2.137962089502224e+001	1.464752e-006
2.187761623949544e+001	1.452601e-006
2.238721138568331e+001	1.440626e-006
2.290867652767764e+001	1.428828e-006
2.344228815319913e+001	1.417203e-006
2.398832919019481e+001	1.405750e-006
2.454708915685020e+001	1.394466e-006
2.511886431509570e+001	1.383351e-006
2.570395782768853e+001	1.372401e-006
2.630267991895371e+001	1.361616e-006
2.691534803926904e+001	1.350993e-006
2.754228703338155e+001	1.340531e-006
2.818382931264442e+001	1.330227e-006
2.884031503126593e+001	1.320080e-006
2.951209226666373e+001	1.310089e-006
3.019951720402003e+001	1.300250e-006
3.090295432513577e+001	1.290563e-006
3.162277660168365e+001	1.281025e-006
3.235936569296268e+001	1.271636e-006
3.311311214825896e+001	1.262393e-006
3.388441561392011e+001	1.253294e-006
3.467368504525301e+001	1.244339e-006
3.548133892335738e+001	1.235524e-006
3.630780547700997e+001	1.226849e-006
3.715352290971708e+001	1.218312e-006
3.801893963205595e+001	1.209910e-006
3.890451449942788e+001	1.201644e-006
3.981071705534954e+001	1.193510e-006
4.073802778041109e+001	1.185507e-006
4.168693834703335e+001	1.177634e-006
4.265795188015907e+001	1.169889e-006
4.365158322401639e+001	1.162270e-006
4.466835921509610e+001	1.154777e-006
4.570881896148729e+001	1.147406e-006
4.677351412871960e+001	1.140158e-006
4.786300923226361e+001	1.133029e-006
4.897788193684438e+001	1.126019e-006
5.011872336272698e+001	1.119127e-006
5.128613839913624e+001	1.112350e-006
5.248074602497700e+001	1.105687e-006
5.370317963702501e+001	1.099137e-006
5.495408738576219e+001	1.092697e-006
5.623413251903463e+001	1.086368e-006
5.754399373371541e+001	1.080147e-006
5.888436553555861e+001	1.074032e-006
6.025595860743547e+001	1.068023e-006
6.165950018614791e+001	1.062118e-006
6.309573444801901e+001	1.056316e-006
6.456542290346522e+001	1.050614e-006
6.606934480075925e+001	1.045012e-006
6.760829753919782e+001	1.039509e-006
6.918309709189329e+001	1.034103e-006
7.079457843841342e+001	1.028792e-006
7.244359600749863e+001	1.023575e-006
7.413102413009136e+001	1.018452e-006
7.585775750291798e+001	1.013420e-006
7.762471166286876e+001	1.008478e-006
7.943282347242773e+001	1.003625e-006
8.128305161640949e+001	9.988598e-007
8.317637711026666e+001	9.941812e-007
8.511380382023719e+001	9.895875e-007
8.709635899560760e+001	9.850777e-007
8.912509381337408e+001	9.806506e-007
9.120108393559049e+001	9.763048e-007
9.332543007969861e+001	9.720391e-007
9.549925860214309e+001	9.678524e-007
9.772372209558054e+001	9.637433e-007
9.999999999999946e+001	9.597109e-007
1.023292992280749e+002	9.557536e-007
1.047128548050894e+002	9.518707e-007
1.071519305237600e+002	9.480607e-007
1.096478196143179e+002	9.443226e-007
1.122018454301957e+002	9.406551e-007
1.148153621496876e+002	9.370573e-007
1.174897554939523e+002	9.335279e-007
1.202264434617406e+002	9.300659e-007
1.230268770812374e+002	9.266702e-007
1.258925411794160e+002	9.233397e-007
1.288249551693126e+002	9.200733e-007
1.318256738556399e+002	9.168700e-007
1.348962882591646e+002	9.137288e-007
1.380384264602876e+002	9.106485e-007
1.412537544622746e+002	9.076282e-007
1.445439770745919e+002	9.046670e-007
1.479108388168199e+002	9.017637e-007
1.513561248436199e+002	8.989173e-007
1.548816618912472e+002	8.961269e-007
1.584893192461104e+002	8.933917e-007
1.621810097358920e+002	8.907105e-007
1.659586907437551e+002	8.880825e-007
1.698243652461734e+002	8.855067e-007
1.737800828749365e+002	8.829822e-007
1.778279410038912e+002	8.805083e-007
1.819700858609972e+002	8.780837e-007
1.862087136662856e+002	8.757078e-007
1.905460717963235e+002	8.733797e-007
1.949844599758033e+002	8.710985e-007
1.995262314968867e+002	8.688634e-007
2.041737944669516e+002	8.666735e-007
2.089296130854026e+002	8.645280e-007
2.137962089502218e+002	8.624261e-007
2.187761623949538e+002	8.603671e-007
2.238721138568325e+002	8.583500e-007
2.290867652767758e+002	8.563742e-007
2.344228815319906e+002	8.544388e-007
2.398832919019474e+002	8.525431e-007
2.454708915685014e+002	8.506864e-007
2.511886431509563e+002	8.488680e-007
2.570395782768846e+002	8.470870e-007
2.630267991895364e+002	8.453428e-007
2.691534803926897e+002	8.436348e-007
2.754228703338148e+002	8.419621e-007
2.818382931264435e+002	8.403241e-007
2.884031503126586e+002	8.387202e-007
2.951209226666366e+002	8.371497e-007
3.019951720401995e+002	8.356120e-007
3.090295432513569e+002	8.341063e-007
3.162277660168357e+002	8.326321e-007
3.235936569296260e+002	8.311888e-007
3.311311214825888e+002	8.297757e-007
3.388441561392002e+002	8.283923e-007
