Freq.	V(vout1)	V(vout2)
1.00000000000000e+000	-1.80252839522871e+000,3.73829560984855e-003	-1.99999999940289e+000,3.45575191791704e-005
1.02329299228075e+000	-1.80251709053806e+000,3.82462155209280e-003	-1.99999999937475e+000,3.53624672061552e-005
1.04712854805090e+000	-1.80250525789872e+000,3.91290495853172e-003	-1.99999999934528e+000,3.61861648812835e-005
1.07151930523761e+000	-1.80249287278870e+000,4.00318764954536e-003	-1.99999999931442e+000,3.70290489399620e-005
1.09647819614318e+000	-1.80247990975666e+000,4.09551215519849e-003	-1.99999999928211e+000,3.78915662904721e-005
1.12201845430196e+000	-1.80246634210949e+000,4.18992171228334e-003	-1.99999999924828e+000,3.87741742509258e-005
1.14815362149688e+000	-1.80245214187604e+000,4.28646026117069e-003	-1.99999999921285e+000,3.96773407917424e-005
1.17489755493953e+000	-1.80243727999460e+000,4.38517244231247e-003	-1.99999999917576e+000,4.06015447837722e-005
1.20226443461741e+000	-1.80242172597376e+000,4.48610358888961e-003	-1.99999999913691e+000,4.15472762522004e-005
1.23026877081238e+000	-1.80240544793606e+000,4.58929971949940e-003	-1.99999999909624e+000,4.25150366363645e-005
1.25892541179417e+000	-1.80238841271416e+000,4.69480752939321e-003	-1.99999999905364e+000,4.35053390556249e-005
1.28824955169313e+000	-1.80237058550081e+000,4.80267437764787e-003	-1.99999999900904e+000,4.45187085814263e-005
1.31825673855641e+000	-1.80235193000968e+000,4.91294827472153e-003	-1.99999999896234e+000,4.55556825156989e-005
1.34896288259165e+000	-1.80233240841039e+000,5.02567786674045e-003	-1.99999999891344e+000,4.66168106757417e-005
1.38038426460288e+000	-1.80231198103755e+000,5.14091241616734e-003	-1.99999999886223e+000,4.77026556857437e-005
1.41253754462275e+000	-1.80229060666160e+000,5.25870178284150e-003	-1.99999999880861e+000,4.88137932750945e-005
1.44543977074593e+000	-1.80226824207374e+000,5.37909639860892e-003	-1.99999999875246e+000,4.99508125836433e-005
1.47910838816821e+000	-1.80224484224896e+000,5.50214724207354e-003	-1.99999999869366e+000,5.11143164740688e-005
1.51356124843621e+000	-1.80222036018865e+000,5.62790580843265e-003	-1.99999999863210e+000,5.23049218515252e-005
1.54881661891248e+000	-1.80219474685064e+000,5.75642407636390e-003	-1.99999999856763e+000,5.35232599907330e-005
1.58489319246111e+000	-1.80216795109148e+000,5.88775447133144e-003	-1.99999999850013e+000,5.47699768706893e-005
1.62181009735893e+000	-1.80213991946701e+000,6.02194982409564e-003	-1.99999999842944e+000,5.60457335171745e-005
1.65958690743756e+000	-1.80211059632947e+000,6.15906332686403e-003	-1.99999999835542e+000,5.73512063532367e-005
1.69824365246174e+000	-1.80207992360402e+000,6.29914848300280e-003	-1.99999999827791e+000,5.86870875578403e-005
1.73780082874937e+000	-1.80204784078755e+000,6.44225905337411e-003	-1.99999999819675e+000,6.00540854328680e-005
1.77827941003892e+000	-1.80201428470308e+000,6.58844899597969e-003	-1.99999999811177e+000,6.14529247786723e-005
1.81970085860998e+000	-1.80197918967163e+000,6.73777240302131e-003	-1.99999999802278e+000,6.28843472783736e-005
1.86208713666287e+000	-1.80194248707787e+000,6.89028342806168e-003	-1.99999999792960e+000,6.43491118911109e-005
1.90546071796325e+000	-1.80190410563417e+000,7.04603621194392e-003	-1.99999999783202e+000,6.58479952544514e-005
