Freq.	V(vout1)	V(vout2)
1.00000000000000e+000	-1.56941306824826e+000,5.41781796957478e-003	-1.99999999940289e+000,3.45575191791704e-005
1.02329299228075e+000	-1.56939634448266e+000,5.54288473941021e-003	-1.99999999937475e+000,3.53624672061552e-005
1.04712854805090e+000	-1.56937883994492e+000,5.67078434939988e-003	-1.99999999934528e+000,3.61861648812835e-005
1.07151930523761e+000	-1.56936051844809e+000,5.80157709998012e-003	-1.99999999931442e+000,3.70290489399620e-005
1.09647819614318e+000	-1.56934134230692e+000,5.93532429800863e-003	-1.99999999928211e+000,3.78915662904721e-005
1.12201845430196e+000	-1.56932127206292e+000,6.07208825114725e-003	-1.99999999924828e+000,3.87741742509258e-005
1.14815362149688e+000	-1.56930026650694e+000,6.21193226234373e-003	-1.99999999921285e+000,3.96773407917424e-005
1.17489755493953e+000	-1.56927828260392e+000,6.35492062152223e-003	-1.99999999917576e+000,4.06015447837722e-005
1.20226443461741e+000	-1.56925527530123e+000,6.50111859409639e-003	-1.99999999913691e+000,4.15472762522004e-005
1.23026877081238e+000	-1.56923119763349e+000,6.65059240925408e-003	-1.99999999909624e+000,4.25150366363645e-005
1.25892541179417e+000	-1.56920600042589e+000,6.80340924246525e-003	-1.99999999905364e+000,4.35053390556249e-005
1.28824955169313e+000	-1.56917963245472e+000,6.95963719870518e-003	-1.99999999900904e+000,4.45187085814263e-005
1.31825673855641e+000	-1.56915204001930e+000,7.11934528779294e-003	-1.99999999896234e+000,4.55556825156989e-005
1.34896288259165e+000	-1.56912316723722e+000,7.28260340232426e-003	-1.99999999891344e+000,4.66168106757417e-005
1.38038426460288e+000	-1.56909295565143e+000,7.44948228626754e-003	-1.99999999886223e+000,4.77026556857437e-005
1.41253754462275e+000	-1.56906134426714e+000,7.62005350327406e-003	-1.99999999880861e+000,4.88137932750945e-005
1.44543977074593e+000	-1.56902826940647e+000,7.79438939926095e-003	-1.99999999875246e+000,4.99508125836433e-005
1.47910838816821e+000	-1.56899366456522e+000,7.97256306048775e-003	-1.99999999869366e+000,5.11143164740688e-005
1.51356124843621e+000	-1.56895746045018e+000,8.15464826855820e-003	-1.99999999863210e+000,5.23049218515252e-005
1.54881661891248e+000	-1.56891958458448e+000,8.34071944613938e-003	-1.99999999856763e+000,5.35232599907330e-005
1.58489319246111e+000	-1.56887996155449e+000,8.53085160338778e-003	-1.99999999850013e+000,5.47699768706893e-005
1.62181009735893e+000	-1.56883851254852e+000,8.72512027156438e-003	-1.99999999842944e+000,5.60457335171745e-005
1.65958690743756e+000	-1.56879515548518e+000,8.92360143620578e-003	-1.99999999835542e+000,5.73512063532367e-005
1.69824365246174e+000	-1.56874980469745e+000,9.12637145911377e-003	-1.99999999827791e+000,5.86870875578403e-005
1.73780082874937e+000	-1.56870237094003e+000,9.33350699653728e-003	-1.99999999819675e+000,6.00540854328680e-005
1.77827941003892e+000	-1.56865276116670e+000,9.54508490730556e-003	-1.99999999811177e+000,6.14529247786723e-005
1.81970085860998e+000	-1.56860087849191e+000,9.76118215492307e-003	-1.99999999802278e+000,6.28843472783736e-005
1.86208713666287e+000	-1.56854662187170e+000,9.98187569785672e-003	-1.99999999792960e+000,6.43491118911109e-005
1.90546071796325e+000	-1.56848988617625e+000,1.02072423751963e-002	-1.99999999783202e+000,6.58479952544514e-005
1.94984459975804e+000	-1.56843056192445e+000,1.04373587787597e-002	-1.99999999772985e+000,6.73817920961741e-005
1.99526231496888e+000	-1.56836853509622e+000,1.06723011157403e-002	-1.99999999762286e+000,6.89513156556452e-005
2.04173794466953e+000	-1.56830368716414e+000,1.09121450633532e-002	-1.99999999751083e+000,7.05573981150076e-005
2.08929613085404e+000	-1.56823589471044e+000,1.11569656066864e-002	-1.99999999739352e+000,7.22008910404156e-005
2.13796208950223e+000	-1.56816502944150e+000,1.14068368695775e-002	-1.99999999727068e+000,7.38826658335457e-005
2.18776162394955e+000	-1.56809095798020e+000,1.16618319298657e-002	-1.99999999714205e+000,7.56036141936256e-005
2.23872113856834e+000	-1.56801354164525e+000,1.19220226209300e-002	-1.99999999700736e+000,7.73646485902247e-005
2.29086765276777e+000	-1.56793263647407e+000,1.21874793225660e-002	-1.99999999686632e+000,7.91667027470572e-005
2.34422881531992e+000	-1.56784809290137e+000,1.24582707321675e-002	-1.99999999671863e+000,8.10107321370551e-005
2.39883291901949e+000	-1.56775975575046e+000,1.27344636248639e-002	-1.99999999656398e+000,8.28977144889719e-005
2.45470891568503e+000	-1.56766746385038e+000,1.30161225917718e-002	-1.99999999640205e+000,8.48286503057873e-005
2.51188643150958e+000	-1.56757105024600e+000,1.33033097702938e-002	-1.99999999623248e+000,8.68045633951873e-005
2.57039578276886e+000	-1.56747034171354e+000,1.35960845459901e-002	-1.99999999605493e+000,8.88265014123996e-005
2.63026799189538e+000	-1.56736515879940e+000,1.38945032441270e-002	-1.99999999586900e+000,9.08955364156752e-005
2.69153480392691e+000	-1.56725531572406e+000,1.41986188000028e-002	-1.99999999567431e+000,9.30127654347063e-005
2.75422870333816e+000	-1.56714062013059e+000,1.45084804068246e-002	-1.99999999547045e+000,9.51793110522867e-005
2.81838293126445e+000	-1.56702087309363e+000,1.48241331474161e-002	-1.99999999525698e+000,9.73963219995194e-005
2.88403150312660e+000	-1.56689586897910e+000,1.51456176022350e-002	-1.99999999503345e+000,9.96649737648889e-005
2.95120922666638e+000	-1.56676539522181e+000,1.54729694340382e-002	-1.99999999479938e+000,1.01986469217520e-004
3.01995172040201e+000	-1.56662923253886e+000,1.58062189582018e-002	-1.99999999455428e+000,1.04362039244956e-004
3.09029543251359e+000	-1.56648715453913e+000,1.61453906791007e-002	-1.99999999429763e+000,1.06792943405788e-004
3.16227766016837e+000	-1.56633892789435e+000,1.64905028137341e-002	-1.99999999402889e+000,1.09280470597494e-004
3.23593656929628e+000	-1.56618431226554e+000,1.68415667872979e-002	-1.99999999374748e+000,1.11825939739824e-004
3.31131121482591e+000	-1.56602306026278e+000,1.71985867055593e-002	-1.99999999345281e+000,1.14430700474112e-004
3.38844156139202e+000	-1.56585491748803e+000,1.75615588051192e-002	-1.99999999314425e+000,1.17096133878871e-004
3.46736850452531e+000	-1.56567962254082e+000,1.79304708790652e-002	-1.99999999282115e+000,1.19823653202061e-004
3.54813389233575e+000	-1.56549690715601e+000,1.83053016818731e-002	-1.99999999248282e+000,1.22614704610406e-004
3.63078054770101e+000	-1.56530649641290e+000,1.86860203128940e-002	-1.99999999212854e+000,1.25470767956177e-004
3.71535229097172e+000	-1.56510810845433e+000,1.90725855661259e-002	-1.99999999175757e+000,1.28393357561826e-004
3.80189396320560e+000	-1.56490145516916e+000,1.94649452797938e-002	-1.99999999136912e+000,1.31384023022895e-004
3.89045144994280e+000	-1.56468624216523e+000,1.98630356494496e-002	-1.99999999096236e+000,1.34444350029639e-004
3.98107170553496e+000	-1.56446216906374e+000,2.02667805288926e-002	-1.99999999053643e+000,1.37575961207771e-004
4.07380277804112e+000	-1.56422892970402e+000,2.06760907111615e-002	-1.99999999009042e+000,1.40780516978807e-004
4.16869383470335e+000	-1.56398621278274e+000,2.10908632044273e-002	-1.99999998962340e+000,1.44059716440435e-004
4.26579518801592e+000	-1.56373370191700e+000,2.15109804803127e-002	-1.99999998913437e+000,1.47415298267404e-004
4.36515832240165e+000	-1.56347107645302e+000,2.19363097300671e-002	-1.99999998862228e+000,1.50849041633388e-004
4.46683592150962e+000	-1.56319801165336e+000,2.23667020973077e-002	-1.99999998808607e+000,1.54362767154328e-004
4.57088189614874e+000	-1.56291417968295e+000,2.28019919276065e-002	-1.99999998752458e+000,1.57958337853744e-004
4.67735141287197e+000	-1.56261924993795e+000,2.32419960006524e-002	-1.99999998693663e+000,1.61637660150535e-004
4.78630092322637e+000	-1.56231288992062e+000,2.36865127814045e-002	-1.99999998632098e+000,1.65402684869785e-004
4.89778819368445e+000	-1.56199476616113e+000,2.41353216824225e-002	-1.99999998567630e+000,1.69255408277115e-004
5.01187233627271e+000	-1.56166454482490e+000,2.45881823321215e-002	-1.99999998500125e+000,1.73197873137131e-004
5.12861383991364e+000	-1.56132189294404e+000,2.50448338819313e-002	-1.99999998429438e+000,1.77232169796517e-004
5.24807460249771e+000	-1.56096647939288e+000,2.55049943341057e-002	-1.99999998355420e+000,1.81360437292369e-004
5.37031796370252e+000	-1.56059797582674e+000,2.59683599027391e-002	-1.99999998277913e+000,1.85584864486334e-004
5.49540873857623e+000	-1.56021605831277e+000,2.64346044388206e-002	-1.99999998196753e+000,1.89907691225175e-004
5.62341325190348e+000	-1.55982040811433e+000,2.69033788796988e-002	-1.99999998111769e+000,1.94331209528363e-004
5.75439937337156e+000	-1.55941071347277e+000,2.73743107892001e-002	-1.99999998022779e+000,1.98857764803335e-004
5.88843655355588e+000	-1.55898667095136e+000,2.78470039530133e-002	-1.99999997929596e+000,2.03489757089058e-004
6.02559586074356e+000	-1.55854798696402e+000,2.83210380580830e-002	-1.99999997832021e+000,2.08229642328556e-004
6.16595001861481e+000	-1.55809437934988e+000,2.87959684617916e-002	-1.99999997729847e+000,2.13079933671083e-004
6.30957344480192e+000	-1.55762557920960e+000,2.92713260687644e-002	-1.99999997622858e+000,2.18043202804626e-004
6.45654229034654e+000	-1.55714133266930e+000,2.97466173145028e-002	-1.99999997510827e+000,2.23122081319442e-004
6.60693448007594e+000	-1.55664140259643e+000,3.02213242668685e-002	-1.99999997393516e+000,2.28319262103360e-004
6.76082975391980e+000	-1.55612557053715e+000,3.06949048657592e-002	-1.99999997270676e+000,2.33637500769581e-004
6.91830970918935e+000	-1.55559363883868e+000,3.11667933106747e-002	-1.99999997142047e+000,2.39079617117738e-004
7.07945784384136e+000	-1.55504543244729e+000,3.16364005873957e-002	-1.99999997007356e+000,2.44648496628987e-004
7.24435960074988e+000	-1.55448080095032e+000,3.21031151645500e-002	-1.99999996866317e+000,2.50347091995921e-004
7.41310241300916e+000	-1.55389962073525e+000,3.25663038647208e-002	-1.99999996718631e+000,2.56178424688122e-004
7.58577575029182e+000	-1.55330179688590e+000,3.30253129040151e-002	-1.99999996563985e+000,2.62145586554179e-004
7.76247116628690e+000	-1.55268726530793e+000,3.34794691262699e-002	-1.99999996402050e+000,2.68251741461023e-004
7.94328234724279e+000	-1.55205599459985e+000,3.39280814190321e-002	-1.99999996232484e+000,2.74500126971444e-004
8.12830516164097e+000	-1.55140798822661e+000,3.43704423388141e-002	-1.99999996054926e+000,2.80894056060681e-004
8.31763771102669e+000	-1.55074328603152e+000,3.48058299088317e-002	-1.99999995869001e+000,2.87436918873003e-004
8.51138038202374e+000	-1.55006196646650e+000,3.52335096479190e-002	-1.99999995674313e+000,2.94132184519196e-004
8.70963589956078e+000	-1.54936414792893e+000,3.56527367626646e-002	-1.99999995470449e+000,3.00983402915925e-004
8.91250938133743e+000	-1.54864999040838e+000,3.60627585497983e-002	-1.99999995256978e+000,3.07994206667941e-004
9.12010839355907e+000	-1.54791969697486e+000,3.64628169845348e-002	-1.99999995033447e+000,3.15168312994124e-004
9.33254300796988e+000	-1.54717351497354e+000,3.68521514806931e-002	-1.99999994799380e+000,3.22509525698391e-004
9.54992586021433e+000	-1.54641173690752e+000,3.72300018109893e-002	-1.99999994554283e+000,3.30021737186516e-004
9.77237220955808e+000	-1.54563470153459e+000,3.75956111981019e-002	-1.99999994297634e+000,3.37708930529919e-004
9.99999999999997e+000	-1.54484279410767e+000,3.79482295122349e-002	-1.99999994028890e+000,3.45575181577538e-004
