Freq.	V(vout1)	V(vout2)
1.00000000000000e+000	-1.81888207095802e+000,1.13867467830646e-003	-1.99999999940289e+000,3.45575191791704e-005
1.02329299228075e+000	-1.81888199772256e+000,1.16519771587537e-003	-1.99999999937475e+000,3.53624672061552e-005
1.04712854805090e+000	-1.81888192096489e+000,1.19233854690116e-003	-1.99999999934528e+000,3.61861648812835e-005
1.07151930523761e+000	-1.81888184065726e+000,1.22011156129000e-003	-1.99999999931442e+000,3.70290489399620e-005
1.09647819614318e+000	-1.81888175653693e+000,1.24853148379853e-003	-1.99999999928211e+000,3.78915662904721e-005
1.12201845430196e+000	-1.81888166847450e+000,1.27761338231441e-003	-1.99999999924828e+000,3.87741742509258e-005
1.14815362149688e+000	-1.81888157622812e+000,1.30737267551503e-003	-1.99999999921285e+000,3.96773407917424e-005
1.17489755493953e+000	-1.81888147967851e+000,1.33782514136408e-003	-1.99999999917576e+000,4.06015447837722e-005
1.20226443461741e+000	-1.81888137855447e+000,1.36898692508712e-003	-1.99999999913691e+000,4.15472762522003e-005
1.23026877081238e+000	-1.81888127262483e+000,1.40087454799588e-003	-1.99999999909624e+000,4.25150366363645e-005
1.25892541179417e+000	-1.81888116175126e+000,1.43350491633463e-003	-1.99999999905364e+000,4.35053390556249e-005
1.28824955169313e+000	-1.81888104562756e+000,1.46689532984173e-003	-1.99999999900904e+000,4.45187085814263e-005
1.31825673855641e+000	-1.81888092406257e+000,1.50106349135097e-003	-1.99999999896234e+000,4.55556825156989e-005
1.34896288259165e+000	-1.81888079676999e+000,1.53602751584495e-003	-1.99999999891344e+000,4.66168106757417e-005
1.38038426460288e+000	-1.81888066345784e+000,1.57180594019066e-003	-1.99999999886223e+000,4.77026556857437e-005
1.41253754462275e+000	-1.81888052384290e+000,1.60841773298889e-003	-1.99999999880861e+000,4.88137932750945e-005
1.44543977074593e+000	-1.81888037769878e+000,1.64588230471508e-003	-1.99999999875246e+000,4.99508125836433e-005
1.47910838816821e+000	-1.81888022463547e+000,1.68421951761486e-003	-1.99999999869366e+000,5.11143164740688e-005
1.51356124843621e+000	-1.81888006436009e+000,1.72344969668471e-003	-1.99999999863210e+000,5.23049218515252e-005
1.54881661891248e+000	-1.81887989650881e+000,1.76359364014322e-003	-1.99999999856763e+000,5.35232599907330e-005
1.58489319246111e+000	-1.81887972075468e+000,1.80467263064816e-003	-1.99999999850012e+000,5.47699768706893e-005
1.62181009735893e+000	-1.81887953678393e+000,1.84670844653580e-003	-1.99999999842944e+000,5.60457335171745e-005
1.65958690743756e+000	-1.81887934409221e+000,1.88972337294829e-003	-1.99999999835542e+000,5.73512063532367e-005
1.69824365246174e+000	-1.81887914232013e+000,1.93374021430181e-003	-1.99999999827791e+000,5.86870875578403e-005
1.73780082874937e+000	-1.81887893102648e+000,1.97878230591878e-003	-1.99999999819675e+000,6.00540854328680e-005
1.77827941003892e+000	-1.81887870978744e+000,2.02487352659103e-003	-1.99999999811177e+000,6.14529247786723e-005
1.81970085860998e+000	-1.81887847813989e+000,2.07203831110922e-003	-1.99999999802278e+000,6.28843472783736e-005
1.86208713666287e+000	-1.81887823556177e+000,2.12030166315535e-003	-1.99999999792960e+000,6.43491118911109e-005
1.90546071796325e+000	-1.81887798152288e+000,2.16968916865478e-003	-1.99999999783202e+000,6.58479952544514e-005
1.94984459975804e+000	-1.81887771556020e+000,2.22022700951236e-003	-1.99999999772985e+000,6.73817920961741e-005
1.99526231496888e+000	-1.81887743698610e+000,2.27194197678052e-003	-1.99999999762286e+000,6.89513156556451e-005
2.04173794466953e+000	-1.81887714535918e+000,2.32486148598181e-003	-1.99999999751083e+000,7.05573981150076e-005
2.08929613085404e+000	-1.81887683993947e+000,2.37901359029285e-003	-1.99999999739352e+000,7.22008910404156e-005
2.13796208950223e+000	-1.81887652021347e+000,2.43442699670882e-003	-1.99999999727068e+000,7.38826658335457e-005
2.18776162394955e+000	-1.81887618534820e+000,2.49113107983956e-003	-1.99999999714205e+000,7.56036141936256e-005
2.23872113856834e+000	-1.81887583471440e+000,2.54915589882129e-003	-1.99999999700736e+000,7.73646485902247e-005
2.29086765276777e+000	-1.81887546751429e+000,2.60853221224604e-003	-1.99999999686632e+000,7.91667027470572e-005
2.34422881531992e+000	-1.81887508305609e+000,2.66929149519644e-003	-1.99999999671863e+000,8.10107321370551e-005
2.39883291901949e+000	-1.81887468047401e+000,2.73146595511929e-003	-1.99999999656398e+000,8.28977144889718e-005
2.45470891568503e+000	-1.81887425890305e+000,2.79508854935550e-003	-1.99999999640205e+000,8.48286503057873e-005
2.51188643150958e+000	-1.81887381752342e+000,2.86019300273153e-003	-1.99999999623248e+000,8.68045633951872e-005
2.57039578276886e+000	-1.81887335527466e+000,2.92681382452570e-003	-1.99999999605493e+000,8.88265014123996e-005
2.63026799189538e+000	-1.81887287127128e+000,2.99498632800612e-003	-1.99999999586900e+000,9.08955364156752e-005
2.69153480392691e+000	-1.81887236444230e+000,3.06474664799315e-003	-1.99999999567431e+000,9.30127654347062e-005
2.75422870333816e+000	-1.81887183371868e+000,3.13613176055983e-003	-1.99999999547045e+000,9.51793110522866e-005
2.81838293126445e+000	-1.81887127804402e+000,3.20917950264507e-003	-1.99999999525698e+000,9.73963219995195e-005
2.88403150312660e+000	-1.81887069612705e+000,3.28392859120562e-003	-1.99999999503345e+000,9.96649737648890e-005
2.95120922666638e+000	-1.81887008676653e+000,3.36041864480167e-003	-1.99999999479938e+000,1.01986469217520e-004
3.01995172040201e+000	-1.81886944872579e+000,3.43869020413539e-003	-1.99999999455428e+000,1.04362039244956e-004
3.09029543251359e+000	-1.81886878062616e+000,3.51878475308317e-003	-1.99999999429763e+000,1.06792943405788e-004
3.16227766016837e+000	-1.81886808100255e+000,3.60074474080713e-003	-1.99999999402889e+000,1.09280470597494e-004
3.23593656929628e+000	-1.81886734844660e+000,3.68461360475090e-003	-1.99999999374748e+000,1.11825939739824e-004
3.31131121482591e+000	-1.81886658135587e+000,3.77043579262132e-003	-1.99999999345281e+000,1.14430700474112e-004
3.38844156139202e+000	-1.81886577813281e+000,3.85825678664739e-003	-1.99999999314425e+000,1.17096133878871e-004
3.46736850452531e+000	-1.81886493702829e+000,3.94812312697142e-003	-1.99999999282115e+000,1.19823653202060e-004
3.54813389233575e+000	-1.81886405630192e+000,4.04008243689628e-003	-1.99999999248282e+000,1.22614704610406e-004
3.63078054770101e+000	-1.81886313405951e+000,4.13418344734796e-003	-1.99999999212854e+000,1.25470767956177e-004
3.71535229097172e+000	-1.81886216834515e+000,4.23047602298774e-003	-1.99999999175757e+000,1.28393357561826e-004
3.80189396320560e+000	-1.81886115714928e+000,4.32901118858656e-003	-1.99999999136912e+000,1.31384023022895e-004
3.89045144994280e+000	-1.81886009824942e+000,4.42984115520402e-003	-1.99999999096236e+000,1.34444350029639e-004
3.98107170553496e+000	-1.81885898948925e+000,4.53301934904824e-003	-1.99999999053643e+000,1.37575961207771e-004
4.07380277804112e+000	-1.81885782842941e+000,4.63860043798916e-003	-1.99999999009042e+000,1.40780516978807e-004
4.16869383470335e+000	-1.81885661273201e+000,4.74664036226920e-003	-1.99999998962340e+000,1.44059716440435e-004
4.26579518801592e+000	-1.81885533966642e+000,4.85719636151410e-003	-1.99999998913436e+000,1.47415298267404e-004
4.36515832240165e+000	-1.81885400667300e+000,4.97032700778016e-003	-1.99999998862228e+000,1.50849041633388e-004
