Freq.	V(vout1)	V(vout2)
1.00000000000000e+000	-1.92556554886291e+000,1.14922234432840e-003	-1.99999999940289e+000,3.45575191791704e-005
1.02329299228075e+000	-1.92556547637392e+000,1.17599107167273e-003	-1.99999999937475e+000,3.53624672061552e-005
1.04712854805090e+000	-1.92556540043587e+000,1.20338331559461e-003	-1.99999999934528e+000,3.61861648812835e-005
1.07151930523761e+000	-1.92556532093994e+000,1.23141359921440e-003	-1.99999999931442e+000,3.70290489399620e-005
1.09647819614318e+000	-1.92556523774559e+000,1.26009678387601e-003	-1.99999999928211e+000,3.78915662904721e-005
1.12201845430196e+000	-1.92556515057663e+000,1.28944807688270e-003	-1.99999999924828e+000,3.87741742509258e-005
1.14815362149688e+000	-1.92556505927634e+000,1.31948303988362e-003	-1.99999999921285e+000,3.96773407917424e-005
1.17489755493953e+000	-1.92556496378009e+000,1.35021759710291e-003	-1.99999999917576e+000,4.06015447837722e-005
1.20226443461741e+000	-1.92556486368369e+000,1.38166804318233e-003	-1.99999999913691e+000,4.15472762522003e-005
1.23026877081238e+000	-1.92556475885510e+000,1.41385105265277e-003	-1.99999999909624e+000,4.25150366363645e-005
1.25892541179417e+000	-1.92556464917781e+000,1.44678368843549e-003	-1.99999999905364e+000,4.35053390556249e-005
1.28824955169313e+000	-1.92556453426658e+000,1.48048341045685e-003	-1.99999999900904e+000,4.45187085814263e-005
1.31825673855641e+000	-1.92556441398442e+000,1.51496808566140e-003	-1.99999999896234e+000,4.55556825156989e-005
1.34896288259165e+000	-1.92556428797739e+000,1.55025599678418e-003	-1.99999999891344e+000,4.66168106757417e-005
1.38038426460288e+000	-1.92556415605707e+000,1.58636585262579e-003	-1.99999999886223e+000,4.77026556857437e-005
1.41253754462275e+000	-1.92556401792195e+000,1.62331679753369e-003	-1.99999999880861e+000,4.88137932750945e-005
1.44543977074593e+000	-1.92556387328430e+000,1.66112842174434e-003	-1.99999999875246e+000,4.99508125836433e-005
1.47910838816821e+000	-1.92556372186510e+000,1.69982077175987e-003	-1.99999999869366e+000,5.11143164740688e-005
1.51356124843621e+000	-1.92556356324598e+000,1.73941436070927e-003	-1.99999999863210e+000,5.23049218515252e-005
1.54881661891248e+000	-1.92556339719558e+000,1.77993017978885e-003	-1.99999999856763e+000,5.35232599907330e-005
1.58489319246111e+000	-1.92556322326654e+000,1.82138970867050e-003	-1.99999999850012e+000,5.47699768706893e-005
1.62181009735893e+000	-1.92556304114308e+000,1.86381492750571e-003	-1.99999999842944e+000,5.60457335171745e-005
1.65958690743756e+000	-1.92556285047089e+000,1.90722832826811e-003	-1.99999999835542e+000,5.73512063532367e-005
1.69824365246174e+000	-1.92556265079973e+000,1.95165292654941e-003	-1.99999999827791e+000,5.86870875578403e-005
1.73780082874937e+000	-1.92556244171077e+000,1.99711227399525e-003	-1.99999999819675e+000,6.00540854328680e-005
1.77827941003892e+000	-1.92556222279239e+000,2.04363047074145e-003	-1.99999999811177e+000,6.14529247786723e-005
1.81970085860998e+000	-1.92556199353520e+000,2.09123217796048e-003	-1.99999999802278e+000,6.28843472783736e-005
1.86208713666287e+000	-1.92556175350931e+000,2.13994263129485e-003	-1.99999999792960e+000,6.43491118911109e-005
1.90546071796325e+000	-1.92556150213544e+000,2.18978765373279e-003	-1.99999999783202e+000,6.58479952544514e-005
1.94984459975804e+000	-1.92556123893951e+000,2.24079366983844e-003	-1.99999999772985e+000,6.73817920961741e-005
1.99526231496888e+000	-1.92556096331847e+000,2.29298771922770e-003	-1.99999999762286e+000,6.89513156556451e-005
