frequency	V(onoise)
1.000000000000000e+000	5.816159e-006
1.023292992280754e+000	5.750632e-006
1.047128548050899e+000	5.685868e-006
1.071519305237606e+000	5.621857e-006
1.096478196143185e+000	5.558591e-006
1.122018454301963e+000	5.496061e-006
1.148153621496882e+000	5.434260e-006
1.174897554939529e+000	5.373179e-006
1.202264434617413e+000	5.312810e-006
1.230268770812381e+000	5.253145e-006
1.258925411794167e+000	5.194176e-006
1.288249551693134e+000	5.135895e-006
1.318256738556407e+000	5.078295e-006
1.348962882591653e+000	5.021367e-006
1.380384264602885e+000	4.965105e-006
1.412537544622754e+000	4.909500e-006
1.445439770745927e+000	4.854546e-006
1.479108388168207e+000	4.800235e-006
1.513561248436208e+000	4.746561e-006
1.548816618912481e+000	4.693514e-006
1.584893192461113e+000	4.641090e-006
1.621810097358929e+000	4.589280e-006
1.659586907437560e+000	4.538078e-006
1.698243652461744e+000	4.487478e-006
1.737800828749375e+000	4.437472e-006
1.778279410038922e+000	4.388054e-006
1.819700858609982e+000	4.339216e-006
1.862087136662866e+000	4.290954e-006
1.905460717963246e+000	4.243259e-006
1.949844599758044e+000	4.196127e-006
1.995262314968878e+000	4.149550e-006
2.041737944669527e+000	4.103524e-006
2.089296130854037e+000	4.058040e-006
2.137962089502230e+000	4.013094e-006
2.187761623949550e+000	3.968678e-006
2.238721138568337e+000	3.924789e-006
2.290867652767771e+000	3.881419e-006
2.344228815319919e+000	3.838562e-006
2.398832919019488e+000	3.796215e-006
2.454708915685028e+000	3.754369e-006
2.511886431509577e+000	3.713021e-006
2.570395782768860e+000	3.672163e-006
2.630267991895378e+000	3.631792e-006
2.691534803926912e+000	3.591902e-006
2.754228703338163e+000	3.552486e-006
2.818382931264450e+000	3.513541e-006
2.884031503126602e+000	3.475061e-006
2.951209226666381e+000	3.437040e-006
3.019951720402012e+000	3.399474e-006
3.090295432513586e+000	3.362358e-006
3.162277660168374e+000	3.325686e-006
3.235936569296277e+000	3.289455e-006
3.311311214825905e+000	3.253657e-006
3.388441561392020e+000	3.218291e-006
3.467368504525310e+000	3.183350e-006
3.548133892335748e+000	3.148829e-006
3.630780547701007e+000	3.114725e-006
3.715352290971719e+000	3.081032e-006
3.801893963205605e+000	3.047747e-006
3.890451449942799e+000	3.014864e-006
3.981071705534965e+000	2.982379e-006
4.073802778041119e+000	2.950289e-006
4.168693834703346e+000	2.918588e-006
4.265795188015918e+000	2.887272e-006
4.365158322401651e+000	2.856337e-006
4.466835921509622e+000	2.825780e-006
4.570881896148741e+000	2.795595e-006
4.677351412871972e+000	2.765779e-006
4.786300923226373e+000	2.736328e-006
4.897788193684452e+000	2.707238e-006
5.011872336272712e+000	2.678505e-006
5.128613839913638e+000	2.650125e-006
5.248074602497715e+000	2.622094e-006
5.370317963702516e+000	2.594408e-006
5.495408738576233e+000	2.567065e-006
5.623413251903478e+000	2.540059e-006
5.754399373371556e+000	2.513388e-006
5.888436553555876e+000	2.487048e-006
6.025595860743564e+000	2.461035e-006
6.165950018614807e+000	2.435345e-006
6.309573444801917e+000	2.409976e-006
6.456542290346540e+000	2.384924e-006
6.606934480075944e+000	2.360184e-006
6.760829753919802e+000	2.335755e-006
6.918309709189348e+000	2.311633e-006
7.079457843841362e+000	2.287814e-006
7.244359600749883e+000	2.264295e-006
7.413102413009157e+000	2.241073e-006
7.585775750291819e+000	2.218145e-006
7.762471166286898e+000	2.195507e-006
7.943282347242795e+000	2.173157e-006
8.128305161640972e+000	2.151091e-006
8.317637711026690e+000	2.129307e-006
8.511380382023743e+000	2.107801e-006
8.709635899560784e+000	2.086570e-006
8.912509381337431e+000	2.065612e-006
9.120108393559072e+000	2.044924e-006
9.332543007969884e+000	2.024502e-006
9.549925860214332e+000	2.004344e-006
9.772372209558078e+000	1.984447e-006
9.999999999999970e+000	1.964808e-006
1.023292992280751e+001	1.945425e-006
1.047128548050896e+001	1.926294e-006
1.071519305237603e+001	1.907414e-006
1.096478196143182e+001	1.888781e-006
1.122018454301960e+001	1.870393e-006
1.148153621496879e+001	1.852247e-006
1.174897554939526e+001	1.834341e-006
1.202264434617409e+001	1.816672e-006
1.230268770812378e+001	1.799237e-006
1.258925411794163e+001	1.782035e-006
1.288249551693130e+001	1.765062e-006
1.318256738556403e+001	1.748316e-006
1.348962882591649e+001	1.731795e-006
1.380384264602880e+001	1.715496e-006
1.412537544622749e+001	1.699418e-006
1.445439770745922e+001	1.683557e-006
1.479108388168202e+001	1.667911e-006
1.513561248436203e+001	1.652478e-006
1.548816618912476e+001	1.637256e-006
1.584893192461108e+001	1.622243e-006
1.621810097358924e+001	1.607436e-006
1.659586907437554e+001	1.592833e-006
1.698243652461738e+001	1.578432e-006
1.737800828749369e+001	1.564231e-006
1.778279410038916e+001	1.550227e-006
1.819700858609976e+001	1.536418e-006
1.862087136662860e+001	1.522803e-006
1.905460717963240e+001	1.509380e-006
1.949844599758038e+001	1.496145e-006
1.995262314968872e+001	1.483098e-006
2.041737944669522e+001	1.470235e-006
2.089296130854032e+001	1.457556e-006
2.137962089502224e+001	1.445058e-006
2.187761623949544e+001	1.432740e-006
2.238721138568331e+001	1.420598e-006
2.290867652767764e+001	1.408632e-006
2.344228815319913e+001	1.396839e-006
2.398832919019481e+001	1.385217e-006
2.454708915685020e+001	1.373765e-006
2.511886431509570e+001	1.362481e-006
2.570395782768853e+001	1.351362e-006
2.630267991895371e+001	1.340408e-006
2.691534803926904e+001	1.329616e-006
2.754228703338155e+001	1.318984e-006
2.818382931264442e+001	1.308510e-006
2.884031503126593e+001	1.298194e-006
2.951209226666373e+001	1.288032e-006
3.019951720402003e+001	1.278024e-006
3.090295432513577e+001	1.268167e-006
3.162277660168365e+001	1.258460e-006
3.235936569296268e+001	1.248901e-006
3.311311214825896e+001	1.239488e-006
3.388441561392011e+001	1.230220e-006
3.467368504525301e+001	1.221095e-006
3.548133892335738e+001	1.212112e-006
3.630780547700997e+001	1.203268e-006
3.715352290971708e+001	1.194562e-006
3.801893963205595e+001	1.185993e-006
