frequency	V(onoise)
1.000000000000000e+000	5.819670e-006
1.023292992280754e+000	5.754183e-006
1.047128548050899e+000	5.689459e-006
1.071519305237606e+000	5.625489e-006
1.096478196143185e+000	5.562265e-006
1.122018454301963e+000	5.499777e-006
1.148153621496882e+000	5.438018e-006
1.174897554939529e+000	5.376980e-006
1.202264434617413e+000	5.316654e-006
1.230268770812381e+000	5.257032e-006
1.258925411794167e+000	5.198107e-006
1.288249551693134e+000	5.139871e-006
1.318256738556407e+000	5.082316e-006
1.348962882591653e+000	5.025433e-006
1.380384264602885e+000	4.969217e-006
1.412537544622754e+000	4.913659e-006
1.445439770745927e+000	4.858753e-006
1.479108388168207e+000	4.804489e-006
1.513561248436208e+000	4.750862e-006
1.548816618912481e+000	4.697864e-006
1.584893192461113e+000	4.645489e-006
1.621810097358929e+000	4.593729e-006
1.659586907437560e+000	4.542578e-006
1.698243652461744e+000	4.492028e-006
1.737800828749375e+000	4.442073e-006
1.778279410038922e+000	4.392706e-006
1.819700858609982e+000	4.343921e-006
1.862087136662866e+000	4.295712e-006
1.905460717963246e+000	4.248071e-006
1.949844599758044e+000	4.200992e-006
1.995262314968878e+000	4.154470e-006
2.041737944669527e+000	4.108499e-006
2.089296130854037e+000	4.063071e-006
2.137962089502230e+000	4.018180e-006
2.187761623949550e+000	3.973822e-006
2.238721138568337e+000	3.929990e-006
2.290867652767771e+000	3.886678e-006
2.344228815319919e+000	3.843881e-006
2.398832919019488e+000	3.801592e-006
2.454708915685028e+000	3.759806e-006
2.511886431509577e+000	3.718518e-006
2.570395782768860e+000	3.677722e-006
2.630267991895378e+000	3.637412e-006
2.691534803926912e+000	3.597584e-006
2.754228703338163e+000	3.558232e-006
2.818382931264450e+000	3.519350e-006
2.884031503126602e+000	3.480934e-006
2.951209226666381e+000	3.442978e-006
3.019951720402012e+000	3.405478e-006
3.090295432513586e+000	3.368428e-006
3.162277660168374e+000	3.331823e-006
3.235936569296277e+000	3.295659e-006
3.311311214825905e+000	3.259930e-006
3.388441561392020e+000	3.224632e-006
3.467368504525310e+000	3.189760e-006
3.548133892335748e+000	3.155310e-006
3.630780547701007e+000	3.121276e-006
3.715352290971719e+000	3.087655e-006
3.801893963205605e+000	3.054442e-006
3.890451449942799e+000	3.021632e-006
3.981071705534965e+000	2.989221e-006
4.073802778041119e+000	2.957205e-006
4.168693834703346e+000	2.925578e-006
4.265795188015918e+000	2.894338e-006
4.365158322401651e+000	2.863480e-006
4.466835921509622e+000	2.832999e-006
4.570881896148741e+000	2.802892e-006
4.677351412871972e+000	2.773155e-006
4.786300923226373e+000	2.743783e-006
4.897788193684452e+000	2.714773e-006
5.011872336272712e+000	2.686120e-006
5.128613839913638e+000	2.657822e-006
5.248074602497715e+000	2.629873e-006
5.370317963702516e+000	2.602270e-006
5.495408738576233e+000	2.575010e-006
5.623413251903478e+000	2.548089e-006
5.754399373371556e+000	2.521503e-006
5.888436553555876e+000	2.495248e-006
6.025595860743564e+000	2.469321e-006
6.165950018614807e+000	2.443719e-006
6.309573444801917e+000	2.418437e-006
6.456542290346540e+000	2.393474e-006
6.606934480075944e+000	2.368824e-006
6.760829753919802e+000	2.344485e-006
6.918309709189348e+000	2.320453e-006
7.079457843841362e+000	2.296726e-006
7.244359600749883e+000	2.273299e-006
7.413102413009157e+000	2.250170e-006
7.585775750291819e+000	2.227335e-006
7.762471166286898e+000	2.204792e-006
7.943282347242795e+000	2.182537e-006
8.128305161640972e+000	2.160567e-006
8.317637711026690e+000	2.138879e-006
8.511380382023743e+000	2.117470e-006
8.709635899560784e+000	2.096338e-006
8.912509381337431e+000	2.075478e-006
9.120108393559072e+000	2.054889e-006
9.332543007969884e+000	2.034567e-006
9.549925860214332e+000	2.014510e-006
9.772372209558078e+000	1.994714e-006
9.999999999999970e+000	1.975177e-006
1.023292992280751e+001	1.955897e-006
1.047128548050896e+001	1.936870e-006
1.071519305237603e+001	1.918094e-006
1.096478196143182e+001	1.899565e-006
1.122018454301960e+001	1.881283e-006
1.148153621496879e+001	1.863243e-006
1.174897554939526e+001	1.845443e-006
1.202264434617409e+001	1.827882e-006
1.230268770812378e+001	1.810555e-006
1.258925411794163e+001	1.793461e-006
1.288249551693130e+001	1.776597e-006
1.318256738556403e+001	1.759961e-006
1.348962882591649e+001	1.743550e-006
1.380384264602880e+001	1.727363e-006
1.412537544622749e+001	1.711396e-006
1.445439770745922e+001	1.695647e-006
1.479108388168202e+001	1.680114e-006
1.513561248436203e+001	1.664794e-006
1.548816618912476e+001	1.649686e-006
1.584893192461108e+001	1.634787e-006
1.621810097358924e+001	1.620094e-006
1.659586907437554e+001	1.605606e-006
1.698243652461738e+001	1.591321e-006
1.737800828749369e+001	1.577235e-006
1.778279410038916e+001	1.563348e-006
1.819700858609976e+001	1.549657e-006
1.862087136662860e+001	1.536159e-006
1.905460717963240e+001	1.522853e-006
1.949844599758038e+001	1.509736e-006
1.995262314968872e+001	1.496807e-006
2.041737944669522e+001	1.484064e-006
2.089296130854032e+001	1.471504e-006
2.137962089502224e+001	1.459126e-006
2.187761623949544e+001	1.446927e-006
2.238721138568331e+001	1.434905e-006
2.290867652767764e+001	1.423059e-006
2.344228815319913e+001	1.411387e-006
2.398832919019481e+001	1.399886e-006
2.454708915685020e+001	1.388555e-006
2.511886431509570e+001	1.377392e-006
2.570395782768853e+001	1.366395e-006
2.630267991895371e+001	1.355562e-006
2.691534803926904e+001	1.344891e-006
2.754228703338155e+001	1.334381e-006
2.818382931264442e+001	1.324029e-006
2.884031503126593e+001	1.313834e-006
2.951209226666373e+001	1.303795e-006
3.019951720402003e+001	1.293908e-006
3.090295432513577e+001	1.284173e-006
3.162277660168365e+001	1.274588e-006
3.235936569296268e+001	1.265151e-006
3.311311214825896e+001	1.255860e-006
3.388441561392011e+001	1.246714e-006
3.467368504525301e+001	1.237711e-006
3.548133892335738e+001	1.228848e-006
3.630780547700997e+001	1.220126e-006
3.715352290971708e+001	1.211541e-006
3.801893963205595e+001	1.203093e-006
3.890451449942788e+001	1.194779e-006
3.981071705534954e+001	1.186598e-006
4.073802778041109e+001	1.178548e-006
4.168693834703335e+001	1.170629e-006
4.265795188015907e+001	1.162837e-006
4.365158322401639e+001	1.155172e-006
4.466835921509610e+001	1.147632e-006
4.570881896148729e+001	1.140215e-006
4.677351412871960e+001	1.132921e-006
4.786300923226361e+001	1.125747e-006
4.897788193684438e+001	1.118691e-006
5.011872336272698e+001	1.111753e-006
5.128613839913624e+001	1.104931e-006
5.248074602497700e+001	1.098223e-006
5.370317963702501e+001	1.091628e-006
5.495408738576219e+001	1.085145e-006
5.623413251903463e+001	1.078771e-006
5.754399373371541e+001	1.072506e-006
5.888436553555861e+001	1.066348e-006
6.025595860743547e+001	1.060295e-006
6.165950018614791e+001	1.054347e-006
6.309573444801901e+001	1.048502e-006
6.456542290346522e+001	1.042757e-006
6.606934480075925e+001	1.037113e-006
6.760829753919782e+001	1.031568e-006
6.918309709189329e+001	1.026120e-006
7.079457843841342e+001	1.020768e-006
7.244359600749863e+001	1.015510e-006
7.413102413009136e+001	1.010346e-006
